Markdown,Unicode,
:strawberry:,U+1F34C,
:banana:,U+1F360,
:sweet_potato:,U+1F33D,
:corn:,U+1F3E0,
:house:,U+1F3E2,
:office:,U+1F3E6,
:bank:,U+1F3E8,
:hotel:,U+1F3EC,
:department_store:,U+1F306,
:city_sunset:,U+26FA,
:tent:,U+1F5FE,
:japan:,U+1F305,
:sunrise:,U+1F309,
:bridge_at_night:,U+1F3A1,
:ferris_wheel:,U+1F6A2,
:ship:,U+26F5,
:sailboat:,U+1F680,
:rocket:,U+1F682,
:steam_locomotive:,U+1F6B2,
:bike:,U+1F6A0,
:mountain_cableway:,U+1F698,
:oncoming_automobile:,U+1F695,
:taxi:,U+1F68C,
:bus:,U+1F693,
:police_car:,U+1F691,
:ambulance:,U+1F68B,
:train:,U+1F685,
:bullettrain_front:,U+1F69D,
:monorail:,U+1F3AB,
:ticket:,U+1F6A5,
:traffic_light:,U+1F530,
:beginner:,U+1F68F,
:busstop:,U+1F3C1,
:checkered_flag:,U+1F5FF,
:moyai:,U+1F4CD,
:round_pushpin:,U+1F1F0 U+1F1F7,
:kr:,U+1F1EB U+1F1F7,
:fr:,U+1F1F7 U+1F1FA,
:ru:,U+1F1E9 U+1F1EA,
:de:,U+0031 U+FE0F U+20E3,
:one:,U+0034 U+FE0F U+20E3,
:four:,U+0037 U+FE0F U+20E3,
:seven:,U+1F51F,
:keycap_ten:,U+0023 U+FE0F U+20E3,
:hash:,U+2B07,
:arrow_down:,U+1F520,
:capital_abcd:,U+2199,
:arrow_lower_left:,U+2B06,
:arrow_up:,U+23EC,
:arrow_double_down:,U+2935,
:arrow_heading_down:,U+21AA,
:arrow_right_hook:,U+1F53C,
:arrow_up_small:,U+23EA,
:rewind:,U+1F197,
:ok:,U+1F502,
:repeat_one:,U+1F199,
:up:,U+1F196,
:ng:,U+1F4F6,
:signal_strength:,U+1F23A,
:u55b6:,U+1F236,
:u6709:,U+1F238,
:u7533:,U+1F202,
:sa:,U+1F6BA,
:womens:,U+1F17F,
